Symbol,Date,Close
GOOG,"Oct 3, 2018",60.15
GOOG,"Oct 4, 2018",58.41
GOOG,"Oct 5, 2018",57.87
GOOG,"Oct 8, 2018",57.45
GOOG,"Oct 9, 2018",56.94
GOOG,"Oct 10, 2018",54.06
GOOG,"Oct 11, 2018",53.97
GOOG,"Oct 12, 2018",55.5
GOOG,"Oct 15, 2018",54.61
GOOG,"Oct 16, 2018",56.06
GOOG,"Oct 17, 2018",55.78
GOOG,"Oct 18, 2018",54.4
GOOG,"Oct 19, 2018",54.82
GOOG,"Oct 22, 2018",55.06
GOOG,"Oct 23, 2018",55.18
GOOG,"Oct 24, 2018",52.54
GOOG,"Oct 25, 2018",54.78
GOOG,"Oct 26, 2018",53.57
GOOG,"Oct 29, 2018",51
GOOG,"Oct 30, 2018",51.81
GOOG,"Oct 31, 2018",53.84
GOOG,"Nov 1, 2018",53.5
GOOG,"Nov 2, 2018",52.89
GOOG,"Nov 5, 2018",52
GOOG,"Nov 6, 2018",52.79
GOOG,"Nov 7, 2018",54.67
GOOG,"Nov 8, 2018",54.12
GOOG,"Nov 9, 2018",53.31
GOOG,"Nov 12, 2018",51.93
GOOG,"Nov 13, 2018",51.8
GOOG,"Nov 14, 2018",52.18
GOOG,"Nov 15, 2018",53.24
GOOG,"Nov 16, 2018",53.07
GOOG,"Nov 19, 2018",51
GOOG,"Nov 20, 2018",51.29
GOOG,"Nov 21, 2018",51.88
GOOG,"Nov 23, 2018",51.19
GOOG,"Nov 26, 2018",52.43
GOOG,"Nov 27, 2018",52.22
GOOG,"Nov 28, 2018",54.31
GOOG,"Nov 29, 2018",54.42
GOOG,"Nov 30, 2018",54.72
GOOG,"Dec 3, 2018",55.32
GOOG,"Dec 4, 2018",52.54
GOOG,"Dec 6, 2018",53.44
GOOG,"Dec 7, 2018",51.83
GOOG,"Dec 10, 2018",51.98
GOOG,"Dec 11, 2018",52.59
GOOG,"Dec 12, 2018",53.18
GOOG,"Dec 13, 2018",53.1
GOOG,"Dec 14, 2018",52.11
GOOG,"Dec 17, 2018",50.83
GOOG,"Dec 18, 2018",51.44
GOOG,"Dec 19, 2018",51.15
GOOG,"Dec 20, 2018",50.47
GOOG,"Dec 21, 2018",48.98
GOOG,"Dec 24, 2018",48.81
GOOG,"Dec 26, 2018",51.97
GOOG,"Dec 27, 2018",52.19
GOOG,"Dec 28, 2018",51.85
GOOG,"Dec 31, 2018",51.78
GOOG,"Jan 2, 2019",52.29
GOOG,"Jan 3, 2019",50.8
GOOG,"Jan 4, 2019",53.54
GOOG,"Jan 7, 2019",53.42
GOOG,"Jan 8, 2019",53.81
GOOG,"Jan 9, 2019",53.73
GOOG,"Jan 10, 2019",53.52
GOOG,"Jan 11, 2019",52.86
GOOG,"Jan 14, 2019",52.23
GOOG,"Jan 15, 2019",53.86
GOOG,"Jan 16, 2019",54.05
GOOG,"Jan 17, 2019",54.5
GOOG,"Jan 18, 2019",54.91
GOOG,"Jan 22, 2019",53.53
GOOG,"Jan 23, 2019",53.78
GOOG,"Jan 24, 2019",53.7
GOOG,"Jan 25, 2019",54.55
GOOG,"Jan 28, 2019",53.5
GOOG,"Jan 29, 2019",53.03
GOOG,"Jan 30, 2019",54.45
GOOG,"Jan 31, 2019",55.82
GOOG,"Feb 1, 2019",55.54
GOOG,"Feb 4, 2019",56.64
GOOG,"Feb 5, 2019",57.3
GOOG,"Feb 6, 2019",55.76
GOOG,"Feb 7, 2019",54.94
GOOG,"Feb 8, 2019",54.75
GOOG,"Feb 11, 2019",54.75
GOOG,"Feb 12, 2019",56.07
GOOG,"Feb 13, 2019",56.01
GOOG,"Feb 14, 2019",56.08
GOOG,"Feb 15, 2019",55.68
GOOG,"Feb 19, 2019",55.93
GOOG,"Feb 20, 2019",55.69
GOOG,"Feb 21, 2019",54.85
GOOG,"Feb 22, 2019",55.52
GOOG,"Feb 25, 2019",55.47
GOOG,"Feb 26, 2019",55.76
GOOG,"Feb 27, 2019",55.8
GOOG,"Feb 28, 2019",56
GOOG,"Mar 1, 2019",57.05
GOOG,"Mar 4, 2019",57.39
GOOG,"Mar 5, 2019",58.1
GOOG,"Mar 6, 2019",57.89
GOOG,"Mar 7, 2019",57.17
